Date,Asset,PnL,Type,Equity
2024-03-12 09:30:00-04:00,Zloto (XAU),-30.25,SL,2969.75
2024-03-12 11:30:00-04:00,GER40 (DAX),74.75,TP,3044.5
2024-03-13 11:30:00-04:00,Nasdaq 100,-30.25,SL,3014.25
2024-03-14 09:30:00-04:00,Zloto (XAU),-30.25,SL,2984.0
2024-03-19 09:30:00-04:00,Nasdaq 100,-30.25,SL,2953.75
2024-03-19 09:30:00-04:00,Zloto (XAU),-30.25,SL,2923.5
2024-03-20 09:30:00-04:00,GER40 (DAX),-30.25,SL,2893.25
2024-03-20 09:30:00-04:00,Zloto (XAU),-30.25,SL,2863.0
2024-03-21 09:30:00-04:00,Nasdaq 100,74.75,TP,2937.75
2024-03-26 09:30:00-04:00,GER40 (DAX),74.75,TP,3012.5
2024-03-26 15:30:00-04:00,Nasdaq 100,-30.25,SL,2982.25
2024-03-28 09:30:00-04:00,Zloto (XAU),74.75,TP,3057.0
2024-04-02 09:30:00-04:00,Nasdaq 100,-30.25,SL,3026.75
2024-04-02 09:30:00-04:00,GER40 (DAX),-30.25,SL,2996.5
2024-04-09 09:30:00-04:00,GER40 (DAX),-30.25,SL,2966.25
2024-04-10 09:30:00-04:00,Nasdaq 100,-30.25,SL,2936.0
2024-04-22 09:30:00-04:00,Zloto (XAU),-30.25,SL,2905.75
2024-05-14 14:30:00-04:00,GER40 (DAX),74.75,TP,2980.5
2024-05-15 12:30:00-04:00,Nasdaq 100,74.75,TP,3055.25
2024-05-15 12:30:00-04:00,Zloto (XAU),74.75,TP,3130.0
2024-05-22 09:30:00-04:00,GER40 (DAX),-30.25,SL,3099.75
2024-05-22 09:30:00-04:00,Zloto (XAU),-30.25,SL,3069.5
2024-05-23 09:30:00-04:00,Nasdaq 100,74.75,TP,3144.25
2024-05-23 13:30:00-04:00,GER40 (DAX),-30.25,SL,3114.0
2024-05-29 09:30:00-04:00,Zloto (XAU),-30.25,SL,3083.75
2024-05-31 09:30:00-04:00,Zloto (XAU),-30.25,SL,3053.5
2024-06-05 10:30:00-04:00,Zloto (XAU),-30.25,SL,3023.25
2024-06-14 09:30:00-04:00,Zloto (XAU),-30.25,SL,2993.0
2024-06-21 09:30:00-04:00,Zloto (XAU),-30.25,SL,2962.75
2024-07-02 11:30:00-04:00,Zloto (XAU),-30.25,SL,2932.5
2024-07-03 10:30:00-04:00,Nasdaq 100,74.75,TP,3007.25
2024-07-10 09:30:00-04:00,Zloto (XAU),74.75,TP,3082.0
2024-07-11 09:30:00-04:00,GER40 (DAX),74.75,TP,3156.75
2024-07-17 09:30:00-04:00,Nasdaq 100,-30.25,SL,3126.5
2024-07-24 09:30:00-04:00,Nasdaq 100,-30.25,SL,3096.25
2024-07-29 09:30:00-04:00,GER40 (DAX),-30.25,SL,3066.0
2024-07-29 10:30:00-04:00,Zloto (XAU),-30.25,SL,3035.75
2024-07-31 09:30:00-04:00,Zloto (XAU),74.75,TP,3110.5
2024-08-01 09:30:00-04:00,GER40 (DAX),-30.25,SL,3080.25
2024-08-16 09:30:00-04:00,Zloto (XAU),74.75,TP,3155.0
2024-08-22 09:30:00-04:00,Zloto (XAU),-30.25,SL,3124.75
2024-08-23 10:30:00-04:00,GER40 (DAX),74.75,TP,3199.5
2024-08-29 14:30:00-04:00,Nasdaq 100,-30.25,SL,3169.25
2024-08-30 11:30:00-04:00,Zloto (XAU),-30.25,SL,3139.0
2024-09-06 11:30:00-04:00,Zloto (XAU),-30.25,SL,3108.75
2024-09-12 09:30:00-04:00,Zloto (XAU),74.75,TP,3183.5
2024-09-19 09:30:00-04:00,Nasdaq 100,74.75,TP,3258.25
2024-09-24 10:30:00-04:00,Zloto (XAU),74.75,TP,3333.0
2024-09-26 09:30:00-04:00,GER40 (DAX),74.75,TP,3407.75
2024-10-03 09:30:00-04:00,Zloto (XAU),-30.25,SL,3377.5
2024-10-08 09:30:00-04:00,Zloto (XAU),-30.25,SL,3347.25
2024-10-14 09:30:00-04:00,Nasdaq 100,74.75,TP,3422.0
2024-10-14 09:30:00-04:00,GER40 (DAX),74.75,TP,3496.75
2024-10-18 09:30:00-04:00,Zloto (XAU),74.75,TP,3571.5
2024-10-23 10:30:00-04:00,Nasdaq 100,-30.25,SL,3541.25
2024-10-25 09:30:00-04:00,Nasdaq 100,74.75,TP,3616.0
2024-10-30 09:30:00-04:00,GER40 (DAX),-30.25,SL,3585.75
2024-10-30 10:30:00-04:00,Zloto (XAU),74.75,TP,3660.5
2024-10-31 09:30:00-04:00,Nasdaq 100,-30.25,SL,3630.25
2024-11-06 09:30:00-05:00,Nasdaq 100,74.75,TP,3705.0
2024-11-11 09:30:00-05:00,Zloto (XAU),-30.25,SL,3674.75
2024-11-27 09:30:00-05:00,Nasdaq 100,-30.25,SL,3644.5
2024-12-03 09:30:00-05:00,Zloto (XAU),-30.25,SL,3614.25
2024-12-05 09:30:00-05:00,Zloto (XAU),-30.25,SL,3584.0
2024-12-09 09:30:00-05:00,Zloto (XAU),-30.25,SL,3553.75
2024-12-16 12:30:00-05:00,Nasdaq 100,74.75,TP,3628.5
2024-12-18 13:30:00-05:00,Nasdaq 100,-30.25,SL,3598.25
2024-12-26 09:30:00-05:00,Zloto (XAU),-30.25,SL,3568.0
2025-01-02 09:30:00-05:00,Zloto (XAU),-30.25,SL,3537.75
2025-01-10 09:30:00-05:00,GER40 (DAX),-30.25,SL,3507.5
2025-01-30 09:30:00-05:00,GER40 (DAX),74.75,TP,3582.25
2025-01-30 09:30:00-05:00,Zloto (XAU),74.75,TP,3657.0
2025-01-31 10:30:00-05:00,Nasdaq 100,74.75,TP,3731.75
2025-01-31 13:30:00-05:00,GER40 (DAX),-30.25,SL,3701.5
2025-02-06 13:30:00-05:00,GER40 (DAX),74.75,TP,3776.25
2025-02-07 10:30:00-05:00,Zloto (XAU),74.75,TP,3851.0
2025-02-11 14:30:00-05:00,GER40 (DAX),74.75,TP,3925.75
2025-02-25 09:30:00-05:00,Nasdaq 100,-30.25,SL,3895.5
2025-02-27 09:30:00-05:00,Zloto (XAU),-30.25,SL,3865.25
2025-03-07 11:30:00-05:00,Zloto (XAU),-30.25,SL,3835.0
2025-03-13 10:30:00-04:00,Zloto (XAU),74.75,TP,3909.75
2025-03-27 09:30:00-04:00,Zloto (XAU),74.75,TP,3984.5
2025-04-03 09:30:00-04:00,Zloto (XAU),-30.25,SL,3954.25
2025-04-03 14:30:00-04:00,GER40 (DAX),-30.25,SL,3924.0
2025-04-16 09:30:00-04:00,Zloto (XAU),74.75,TP,3998.75
2025-04-25 09:30:00-04:00,Zloto (XAU),-30.25,SL,3968.5
2025-04-30 09:30:00-04:00,Nasdaq 100,-30.25,SL,3938.25
2025-05-01 09:30:00-04:00,Zloto (XAU),-30.25,SL,3908.0
2025-05-01 10:30:00-04:00,Nasdaq 100,74.75,TP,3982.75
2025-05-13 09:30:00-04:00,Nasdaq 100,74.75,TP,4057.5
2025-05-19 09:30:00-04:00,Nasdaq 100,-30.25,SL,4027.25
2025-05-21 09:30:00-04:00,Nasdaq 100,-30.25,SL,3997.0
2025-05-23 09:30:00-04:00,Nasdaq 100,-30.25,SL,3966.75
2025-06-09 09:30:00-04:00,GER40 (DAX),-30.25,SL,3936.5
2025-06-13 09:30:00-04:00,Zloto (XAU),74.75,TP,4011.25
2025-06-24 09:30:00-04:00,Nasdaq 100,74.75,TP,4086.0
2025-07-08 09:30:00-04:00,Zloto (XAU),-30.25,SL,4055.75
2025-07-08 11:30:00-04:00,GER40 (DAX),74.75,TP,4130.5
2025-07-10 09:30:00-04:00,Zloto (XAU),-30.25,SL,4100.25
2025-07-11 09:30:00-04:00,GER40 (DAX),-30.25,SL,4070.0
